threshold,precision,recall,f1-score
1.0,1.0,0.0891089108910891,0.16363636363636364
1.0,1.0,0.0891089108910891,0.16363636363636364
1.0,1.0,0.0891089108910891,0.16363636363636364
1.0,1.0,0.0891089108910891,0.16363636363636364
0.002,0.05489260143198091,0.9108910891089109,0.10354530106921778
0.002,0.05489260143198091,0.9108910891089109,0.10354530106921778
0.002,0.05489260143198091,0.9108910891089109,0.10354530106921778
0.002,0.05489260143198091,0.9108910891089109,0.10354530106921778
0.002,0.05489260143198091,0.9108910891089109,0.10354530106921778
0.002,0.05489260143198091,0.9108910891089109,0.10354530106921778
0.002,0.05489260143198091,0.9108910891089109,0.10354530106921778
0.002,0.05489260143198091,0.9108910891089109,0.10354530106921778
0.002,0.05489260143198091,0.9108910891089109,0.10354530106921778
0.002,0.05489260143198091,0.9108910891089109,0.10354530106921778
0.002,0.05489260143198091,0.9108910891089109,0.10354530106921778
0.002,0.05489260143198091,0.9108910891089109,0.10354530106921778
0.002,0.05489260143198091,0.9108910891089109,0.10354530106921778
0.002,0.05489260143198091,0.9108910891089109,0.10354530106921778
0.002,0.05489260143198091,0.9108910891089109,0.10354530106921778
0.002,0.05489260143198091,0.9108910891089109,0.10354530106921778
0.002,0.05489260143198091,0.9108910891089109,0.10354530106921778
0.002,0.05489260143198091,0.9108910891089109,0.10354530106921778
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
0.001,0.019916142557651992,0.9405940594059405,0.039006364196263604
